"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"0-4",793721,788299,786360,793191,806134,819959,831866,840046,839458,827571,811116,795012,779642,764810,756892,754108,745247,729527,714381,699845,684789,672814,665376,660078,654864,651993,653659,659342,671072,688294,709886,732874,753463,768623,775316,772804,759872,743009,723131,705803,691814,683627,679152,679746,683703,688370,695916,706710,716623,725906,735533,741308,743004,742501,738840,733484
"5-9",809397,810054,809298,804783,800632,796429,792917,791006,793306,803058,817286,831061,842564,844853,833548,815138,797216,782419,769579,762188,758946,749402,733175,717746,703400,688822,677518,671098,667333,663688,662581,666028,671825,684125,703006,725013,747259,766279,779500,784312,780911,768012,752563,733717,716720,702349,694269,690898,693436,699688,706087,714464,724962,736437,747547,759826
"10-14",893888,883928,868184,846892,828856,817644,811287,808845,805106,800387,796449,792635,789947,792921,804282,818259,833082,845432,847505,836228,818232,800373,784660,771359,764060,760902,751681,736312,721998,709131,695882,685341,681036,677784,675980,675128,678325,683561,695038,712329,733484,755699,775804,789710,794599,790984,778308,763279,745637,730366,717609,710384,706860,710407,717855,726660
"15-19",792220,824121,851615,882433,902761,904195,891726,865615,842820,827755,817568,812726,811232,807264,802212,797664,792774,790861,795693,807362,821703,836578,848142,849831,838690,821029,803970,789307,776705,769990,768326,760685,744919,731967,720464,707941,697606,692569,688919,686424,685080,688499,694756,706934,724397,745609,768187,789380,803931,810638,808790,797234,782744,765868,751847,741625
"20-24",650686,659478,675123,711909,753743,787284,822242,860324,888410,898108,899305,885442,862577,844600,830798,821282,817768,816384,811216,806467,802597,798267,796148,800502,812047,826697,842676,856143,859509,849718,833645,818108,804607,793121,787821,786497,778749,762688,749112,737292,725530,716197,713144,710406,708345,708057,713768,725269,740964,763147,788033,812451,833383,848550,854987,857114
"25-29",604384,600767,603351,613491,626628,638435,650098,668204,695085,728368,767803,813779,858990,890683,906010,904174,885882,862511,844330,830659,822002,819759,819118,814479,809823,806434,803098,802685,809278,823030,840112,858088,872199,877491,869302,853962,837713,823479,811103,805256,803572,797019,783848,772570,762076,752223,746325,748899,754046,760717,767037,777034,788895,806812,829211,857790
"30-34",647096,641841,636492,621992,607734,601784,599678,601507,607286,618389,630825,644209,662216,686832,718304,761237,810153,855409,888766,903601,901776,884136,861530,844027,830976,822986,821755,822462,819714,816942,815636,814405,815646,822690,838340,855154,871957,884687,888541,879348,864244,848894,836811,826045,820699,819754,815060,805170,798664,794634,789989,787479,790986,796306,803087,811163
"35-39",713294,699125,688492,671156,653719,646250,639241,630131,618591,608401,600662,596747,597263,604329,618640,630558,644718,663056,685422,716647,759390,807937,852772,886249,901430,900175,883273,861572,845124,833047,826618,827028,829448,827652,826524,825762,824161,824369,830634,844788,861169,877934,892200,897325,888781,874115,860049,849875,841938,840662,843462,840869,831388,825535,821366,815180
"40-44",689892,700245,706690,709306,712008,708153,695400,680520,666040,653638,643495,634243,626376,616518,605312,596886,591996,592964,601556,615847,627953,641956,659757,682010,713179,755744,804519,849864,883740,899783,899245,882776,860880,846520,835863,830245,831053,832963,830511,828503,827416,826127,827683,834733,849350,866085,883620,898955,905697,900131,888605,876272,866875,859394,858205,862575
"45-49",688515,685515,681123,677982,674531,677010,688885,698354,704173,709116,703268,686433,671264,658152,646421,636856,628220,620806,610861,599904,592299,587468,587762,596256,610491,622416,636513,654666,677058,708292,750998,800536,846565,879988,895909,895895,880042,858279,843931,832841,827046,827867,830880,829244,827785,827171,826675,829086,837609,854088,873341,891984,907095,914123,908911,895124
"50-54",668801,675243,679750,683555,684573,680971,675999,670829,666106,659641,663456,678175,687395,692412,699496,693282,674464,659982,647824,636508,628447,620243,611896,601934,591133,583214,578680,579714,588363,602661,614607,628689,646893,669320,701036,743533,792571,837787,870770,886405,886560,870819,850056,836382,825826,820581,821854,825663,825008,824989,827237,827270,829498,838326,854763,876477
"55-59",598459,606090,614505,627032,641096,650718,656049,661030,664972,664746,662589,658719,652628,646936,639040,643642,661265,670677,675451,682520,678966,660872,644877,632819,621925,613037,605140,598212,588917,578401,571377,567004,568430,577859,592441,604794,619156,636793,658310,688903,730185,778122,823090,855936,871659,871999,857250,838912,824743,815232,813098,814521,817029,816857,817352,819881
"60-65",523096,530773,540040,551649,562838,571236,579291,588870,599876,612187,623483,630467,636381,640868,640859,637670,632408,626918,622611,615414,624331,641194,646791,651209,658247,652911,635775,622382,611367,601172,593056,585855,579341,570637,561494,555325,552093,553775,563061,576904,588462,602098,619343,640385,670117,710413,757339,800317,833989,850500,855556,841289,819601,807098,798156,794565
"66-69",425905,433705,442306,457468,472234,480846,489667,501317,512694,521919,531381,540430,549687,560456,572960,583735,591541,598078,602311,602975,605635,600433,591612,587172,580665,585622,602323,611215,616064,623462,617849,602730,590601,580754,571747,564632,558591,552817,544564,535554,529671,526473,528378,537715,551782,563577,577406,594833,614832,644011,687468,732479,772282,803796,820048,819866
"70-74",332115,336745,341825,351348,362292,369497,377467,388726,401366,411940,422421,433379,444661,454467,463807,473447,482387,492216,503487,515762,532135,539083,541570,545552,546915,545304,541739,538213,535498,528908,535754,550454,559812,564516,571961,567446,554546,544036,535451,527623,521304,516358,511408,504108,496643,491893,490052,493430,503126,517656,534347,547380,559989,579095,607379,649702
"75-80",226096,230984,236649,244720,251796,255239,259802,266630,274334,282357,291562,301559,311093,321205,331973,342083,352502,363886,374042,383771,400244,407746,412539,422266,433682,443707,451419,458389,463655,465194,464913,462498,460134,458465,454289,461387,475654,484947,489842,496658,493725,483478,475123,469053,463767,459814,456768,453959,448454,443157,445367,444277,444033,452969,466972,480862
"80-84",125606,127792,130029,133546,138081,142154,146509,152313,158183,162578,167150,173125,178956,185250,192835,200883,209009,217456,226735,236203,251359,258469,263970,272349,281239,289707,297432,305901,315015,324204,333294,339448,345293,350196,352479,353601,353504,353755,354431,352237,358864,371916,380075,384986,392098,391852,386372,381704,378531,376556,380274,378229,372331,368127,364998,364469
"85+",64391,65976,67919,70413,73356,75683,78358,81145,83950,88023,92779,97685,102897,107982,112842,118262,124123,130453,137688,145695,160533,165903,170403,178876,188270,197275,206177,216719,227177,234987,244378,252990,262971,271852,281379,291749,299901,309284,318603,325744,331800,336555,340270,344434,348274,359371,373862,384132,391933,400167,414691,418929,416403,416230,420708,424393
